"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Повторная регистрация с тем же логином возвращает 409 и сообщение.","35","Нельзя создать двух одинаковых курьеров, ответ 409","tests","2026-09-24","failed","2026-09-24","TestCreateCourier","test_create_courier","",""
"Неверный логин возвращает 404 и сообщение об отсутствии учётки.","45","Неверный логин даёт 404","tests","2026-09-24","passed","2026-09-24","TestLoginCourier","test_login_courier","",""
"Отсутствие id заказа в пути даёт ошибку (роут/параметр).","30","Без id заказа запрос возвращает ошибку","tests","2026-09-24","passed","2026-09-24","TestAcceptOrder","test_accept_order","",""
"Отсутствие обязательного поля даёт 400 и сообщение об ошибке.","31","Без обязательного поля запрос возвращает 400","tests","2026-09-24","passed","2026-09-24","TestCreateCourier","test_create_courier","",""
"Несуществующий id курьера возвращает 404 и сообщение об ошибке.","25","Удаление курьера с несуществующим id возвращает 404","tests","2026-09-24","failed","2026-09-24","TestDeleteCourier","test_delete_courier","",""
"Существующий track возвращает 200 и объект order.","211","Успешный запрос возвращает объект с заказом","tests","2026-09-24","passed","2026-09-24","TestGetOrderByTrack","test_get_order_by_track","",""
"Повторное удаление уже удалённого курьера возвращает 404 (неуспешный запрос).","329","Повторное удаление того же курьера возвращает 404","tests","2026-09-24","passed","2026-09-24","TestDeleteCourier","test_delete_courier","",""
"При любом варианте color заказ создаётся и возвращает track.","46","Заказ создаётся с любым вариантом цвета, ответ 201 и track","tests","2026-09-24","passed","2026-09-24","TestCreateOrder","test_create_order","",""
"При любом варианте color заказ создаётся и возвращает track.","35","Заказ создаётся с любым вариантом цвета, ответ 201 и track","tests","2026-09-24","passed","2026-09-24","TestCreateOrder","test_create_order","",""
"Несуществующий track возвращает 404 и сообщение об ошибке.","59","Несуществующий заказ возвращает 404","tests","2026-09-24","passed","2026-09-24","TestGetOrderByTrack","test_get_order_by_track","",""
"Отсутствие login или password даёт 400 и сообщение об ошибке.","126697","Без обязательного поля запрос возвращает 400","tests","2026-09-24","broken","2026-09-24","TestLoginCourier","test_login_courier","",""
"Отсутствие параметра courierId даёт 400 и сообщение об ошибке.","27","Без id курьера запрос возвращает 400","tests","2026-09-24","passed","2026-09-24","TestAcceptOrder","test_accept_order","",""
"Отсутствие обязательного поля даёт 400 и сообщение об ошибке.","25","Без обязательного поля запрос возвращает 400","tests","2026-09-24","passed","2026-09-24","TestCreateCourier","test_create_courier","",""
"Успешное создание курьера возвращает 201 и тело {'ok': True}.","53","Курьера можно создать, ответ 201 и тело ok=true","tests","2026-09-24","passed","2026-09-24","TestCreateCourier","test_create_courier","",""
"Приём заказа существующим курьером возвращает 200 и {'ok': True}.","43","Успешный приём заказа возвращает 200 и тело {'ok': True}","tests","2026-09-24","passed","2026-09-24","TestAcceptOrder","test_accept_order","",""
"Отсутствие login или password даёт 400 и сообщение об ошибке.","40","Без обязательного поля запрос возвращает 400","tests","2026-09-24","passed","2026-09-24","TestLoginCourier","test_login_courier","",""
"При любом варианте color заказ создаётся и возвращает track.","33","Заказ создаётся с любым вариантом цвета, ответ 201 и track","tests","2026-09-24","passed","2026-09-24","TestCreateOrder","test_create_order","",""
"Запрос DELETE на путь без id не создаёт корректный вызов — вернётся ошибка.","30","Запрос без id возвращает ошибку","tests","2026-09-24","failed","2026-09-24","TestDeleteCourier","test_delete_courier","",""
"Несуществующий courierId даёт 404 и сообщение об отсутствии курьера.","29","Неверный id курьера возвращает 404","tests","2026-09-24","passed","2026-09-24","TestAcceptOrder","test_accept_order","",""
"Неверный пароль возвращает 404 и сообщение об отсутствии учётки.","39","Неверный пароль даёт 404","tests","2026-09-24","passed","2026-09-24","TestLoginCourier","test_login_courier","",""
"Успешный запрос возвращает 200 и непустой список orders.","16161","Ответ содержит список заказов, ответ 200","tests","2026-09-24","passed","2026-09-24","TestGetOrdersList","test_get_orders_list","",""
"Отсутствие обязательного поля даёт 400 и сообщение об ошибке.","28","Без обязательного поля запрос возвращает 400","tests","2026-09-24","failed","2026-09-24","TestCreateCourier","test_create_courier","",""
"Удаление существующего курьера по id возвращает 200 и {'ok': True}.","104","Успешное удаление курьера возвращает 200 и {'ok': True}","tests","2026-09-24","passed","2026-09-24","TestDeleteCourier","test_delete_courier","",""
"Успешная авторизация возвращает 200 и поле id.","37","Курьер может авторизоваться, ответ 200 и наличие id","tests","2026-09-24","passed","2026-09-24","TestLoginCourier","test_login_courier","",""
"При любом варианте color заказ создаётся и возвращает track.","48","Заказ создаётся с любым вариантом цвета, ответ 201 и track","tests","2026-09-24","passed","2026-09-24","TestCreateOrder","test_create_order","",""
"Отсутствие параметра t возвращает 400 и сообщение об ошибке.","29","Запрос без номера заказа возвращает ошибку","tests","2026-09-24","passed","2026-09-24","TestGetOrderByTrack","test_get_order_by_track","",""
"Логин и пароль несуществующего курьера дают 404.","39","Авторизация под несуществующим пользователем даёт 404","tests","2026-09-24","passed","2026-09-24","TestLoginCourier","test_login_courier","",""
